chain,layer,address,cosmos_address,denom,amount_micro,amount_phmn,tags,relation_notes,accounting_layer,accounting_note,source_type
juno,current,juno16xn7p87r5x3234a20xz8qpz5r54jvlcdj370qf,cosmos16xn7p87r5x3234a20xz8qpz5r54jvlcdyra584,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,15586041,15.586041,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno16xvd0j4cgnkydxwyfuryrjtw24hqgc2k773dkc,cosmos16xvd0j4cgnkydxwyfuryrjtw24hqgc2kgvjk3y,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,535271,0.535271,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno16yf94eecl6h44l5w7zp75skh3rg0k4vegd3kr3,cosmos16yf94eecl6h44l5w7zp75skh3rg0k4ve7ljdyd,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,101037207,101.037207,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno16ykqhtwh66rz96r35v7njsfz82ez9krdaf5f2e,cosmos16ykqhtwh66rz96r35v7njsfz82ez9krdtmhjd9,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,1689482,1.689482,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno1706pzz5hvfw7222548m5hxmjv728qtwws8gx6c,cosmos1706pzz5hvfw7222548m5hxmjv728qtwwx4taay,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,195104,0.195104,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno170kjqp7j77hd0l4k200vmtznrgju8zttswx3mv,cosmos170kjqp7j77hd0l4k200vmtznrgju8zttxu92us,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,276906,0.276906,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno170qjcrghz9lmye6uqw0nkqdnxgmmnsk36s5mqj,cosmos170qjcrghz9lmye6uqw0nkqdnxgmmnsk3vzhq8w,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,2976726,2.976726,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno170qtj0q9nfzn9ypzmg5fyq5qxvj298dugt7g00,cosmos170qtj0q9nfzn9ypzmg5fyq5qxvj298du7eangn,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,54009,0.054009,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno170rp30un66h564egy8hm0mk2adpdv2czpww45c,cosmos170rp30un66h564egy8hm0mk2adpdv2czhudwny,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,5145741,5.145741,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno170wqczhmetlzrmqn9zxhk8c6mp6a6783uslxwv,cosmos170wqczhmetlzrmqn9zxhk8c6mp6a67832zuafs,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,396356,0.396356,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno172hxdt6we3w7qmjelxyf7ul3xuq0nntc9yt6l9,cosmos172hxdt6we3w7qmjelxyf7ul3xuq0nntcnkgpce,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,4800000,4.800000,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno172j2dsd6ak3eg6l3sy3flt8gwzu87qf9dzeg6g,cosmos172j2dsd6ak3eg6l3sy3flt8gwzu87qf9ms6na5,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,287759,0.287759,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno172w2ac677yzqyc6cpn4r790x0tlealn7p68ns3,cosmos172w2ac677yzqyc6cpn4r790x0tlealn7hgyghd,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,63785,0.063785,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno173f044dwpj04xtcdkkpndmdny35lj4afmst4hm,cosmos173f044dwpj04xtcdkkpndmdny35lj4afdzgws8,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,11031365,11.031365,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno174fhvfesvmt9payr8hduhkj56uuqlt97p85s97,cosmos174fhvfesvmt9payr8hduhkj56uuqlt97h4htzz,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,34932,0.034932,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno174m70lurzlx40w6kmjzdra6zcq35wqz5a7zn4u,cosmos174m70lurzlx40w6kmjzdra6zcq35wqz5tvpgjq,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,7447698,7.447698,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno174u7qrz8s673vhdxqwjj83sgrphaq7ruppjw4r,cosmos174u7qrz8s673vhdxqwjj83sgrphaq7ruhn34jl,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,1036,0.001036,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno175kxmfkttzr76na2rumkuamgf9ddeuxrv7eyf5,cosmos175kxmfkttzr76na2rumkuamgf9ddeuxr6v6lwg,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,1011200,1.011200,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
